Who developed Terraform?	Hashicorp
What method does Terraform use to enable collaboration with remote state (if two people `apply` at the same time)?	State locking
What is resource drift in Terraform?	When your resources within your cloud provider have been modified through a method other than Terraform
If you suspect that you have resource drift in your Terraform, what should you run?	`terraform plan -refresh-only`
If you suspect that you have resource drift in your Terraform, what should you run?	`terraform plan -refresh-only`
After running `terraform plan -refresh-only` and seeing that there have been changes in your resources, what do you need to do?	Update your configuration to match the changes
When accessing a variable in Terraform, what is the prefix?	`var.`
The Terraform root module variables are set using the {{c1::CLI}}, {{c2::environment variables}}, {{c3::variable files}} or in a {{c4::Terraform Cloud workspace}}	
How would you automatically load in variables from a file in Terraform?	Name the file `terraform.tfvars` or `terraform.tfvars.json`, or files ending in `.auto.tfvars` or `.auto.tfvars.json`
When defining variables in a `.tfvar` file, what is the difference with definitions?	"You don't need to include the `variable` block surrounding the variable"
How do you access attributes of a `resource` block in Terraform?	`<RESOURCE TYPE>.<NAME>.<ATTRIBUTE>`
What would you use to retrieve read-only data from your cloud provider in Terraform?	A `data` block
What is the difference between a `resource` and `data` block in Terraform?	A data block is read-only data, a resource block modifies infrastructure
How do you access data from a `data` block in Terraform?	`data.<TYPE>.<NAME>.<ATTRIBUTE>`
What does Terraform use to generate plans, refresh state and apply changes under the hood?	A dependency graph
What traversal will Terraform use to walk its graph?	A parallel depth-first search
How do you define a list/tuple in Terraform?	"[""a"", ""b"", ""c""]"
How do you define a map/object in Terraform?	"{ name = ""John"", age = 52 }"
What is the type constraint on a structural type in Terraform?	It will allow all types
What is the type constraint on a collection type in Terraform?	It will only allow one type
What is the general pattern for calling functions in Terraform?	A function name followed by comma-separated arguments in parentheses `max(5,12,9)`
How do you mark a variable as sensitive in Terraform?	You surround it with the sensitive function `sensitive(data)`
What can you use to test your Terraform functions?	The `terraform console`
How do you use an environment variable to set a variable value in Terraform?	`TF_VAR_<variable_name>`
What block do you use to download secrets (whether a file or from a vault) to populate your Terraform config with?	A `data` block
How to get additional information for a command line tool in Terraform?	Append `-help`
What Hashicorp solution can you use with Terraform to streamline your experience with Terraform?	Terraform Cloud
When more than one person is working on a Terraform project, you need at minimum to have a {{c1::remote state solution}}, and ideally also a {{c2::CI environment}}	
Terraform Cloud offers what to run Terraform actions on your own private servers?	Terraform Cloud Agents
Terraform Cloud manages infrastructure collections with {{c1::workspaces}} instead of directories	
What would you use to create and share private modules for your corporation in Terraform?	The private registry
"What is the name of Terraform's policy enforcer?"	Sentinel
After you define policies in Sentinel in Terraform, where do you need to add them?	To policy sets on workspaces
How do you use a variable in a string in Terraform?	"`""${var.name}-rest-of-string""`"
What is a implicit dependency in Terraform?	"When two resources rely on each other, but you haven't specified depends on"
To switch workspaces in Terraform, what do you run?	`terraform workspace select <workspace_name>`
Will Terraform create a new workspace when you run `terraform workspace select <workspane_name>?	No
Do workspaces provide similar functionality in the open-source and Terraform Cloud versions of Terraform?	No
What Terraform command can be used to remove the lock on the state for the current configuration?	`terraform force-unlock <lock_id>`
How do you create a new workspace in Terraform?	`terraform workspace new <workspace_name>`
The Terraform get command is used for what?	To download and update modules
What Terraform version would a new workspace be configured to use after migrating the state to the Terraform Cloud?	The version used to perform the migration
After executing a `terraform plan`, you notice that a resource has a tilde (~) next to it. What does this mean?	The resource will be updated in place
What function does the terraform init -upgrade command perform?	Updates all the plugins that comply with the version contraints
True or False? A main.tf file is always required when using Terraform?	False
Ralphie has executed a terraform apply using a complex Terraform configuration file. However, a few resources failed to deploy due to incorrect variables. After the error is discovered, what happens to the resources that were successfully provisioned?	The resources that were provisioned will remain deployed
"In Terraform, if there is no `provider` argument provided to a resource, what will be used if there's multiple providers in the configuration?"	The default provider (the one with no alias)
True or False? Before a Terraform validate can be run, the directory must be initialized	True
What command do you use after you have set up a new backend solution in Terraform to move the file?	`terraform init -migrate-state`
What should you be using instead of `terraform refresh`?	`terraform plan -refresh-only` or `terraform apply -refresh-only`
What does a `dynamic block` do in Terraform?	It iterates over a value and generates a nested block for each element of that value
What does a `dynamic block` act like in Terraform?	A `for` expression
You are working on updating your infrastructure managed by Terraform. Someone makes a manual change (outside the Terraform workflow) to a `tag` ID to one of your resources. What will happen when you run a terraform apply?	It will overwrite the resource and delete the manual changes
When using Sentinel policies to define and enforce policies in Terraform, when does it run?	After a terraform plan, but before a terraform apply
To specify the version of Terraform provider that is required, what block do you use?	`required_providers`
How do you update providers in Terraform?	`terraform init -upgrade`
In order to use the terraform console command, the CLI must be able to do what?	Lock the state file
What is an explicit dependency in Terraform?	When you specify the `[depend_on]` argument to a resource
