Who developed Terraform?	Hashicorp
<div><div>Importing infrastructure involves five steps:</div><br><div>1) Identify the existing infrastructure you will import.</div><div>2) Import infrastructure into your Terraform state file using `terraform import`</div><div>3) Write Terraform configuration that matches that infrastructure.</div><div>4) <span class=cloze>[...]</span></div><div>5) Apply the configuration to update your Terraform state.</div></div>	<div><div>Importing infrastructure involves five steps:</div><br><div>1) Identify the existing infrastructure you will import.</div><div>2) Import infrastructure into your Terraform state file using `terraform import`</div><div>3) Write Terraform configuration that matches that infrastructure.</div><div>4) <span class=cloze>Review the Terraform plan to ensure the configuration matches the expected state and infrastructure.</span></div><div>5) Apply the configuration to update your Terraform state.</div></div><br> 
<div><div>Importing infrastructure involves five steps:</div><br><div>1) Identify the existing infrastructure you will import.</div><div>2) Import infrastructure into your Terraform state file using `terraform import`</div><div>3) Write Terraform configuration that matches that infrastructure.</div><div>4) Review the Terraform plan to ensure the configuration matches the expected state and infrastructure.</div><div>5) <span class=cloze>[...]</span></div></div>	<div><div>Importing infrastructure involves five steps:</div><br><div>1) Identify the existing infrastructure you will import.</div><div>2) Import infrastructure into your Terraform state file using `terraform import`</div><div>3) Write Terraform configuration that matches that infrastructure.</div><div>4) Review the Terraform plan to ensure the configuration matches the expected state and infrastructure.</div><div>5) <span class=cloze>Apply the configuration to update your Terraform state.</span></div></div><br> 
<div><div>Importing infrastructure involves five steps:</div><br><div>1) <span class=cloze>[...]</span></div><div>2) Import infrastructure into your Terraform state file using `terraform import`</div><div>3) Write Terraform configuration that matches that infrastructure.</div><div>4) Review the Terraform plan to ensure the configuration matches the expected state and infrastructure.</div><div>5) Apply the configuration to update your Terraform state.</div></div>	<div><div>Importing infrastructure involves five steps:</div><br><div>1) <span class=cloze>Identify the existing infrastructure you will import.</span></div><div>2) Import infrastructure into your Terraform state file using `terraform import`</div><div>3) Write Terraform configuration that matches that infrastructure.</div><div>4) Review the Terraform plan to ensure the configuration matches the expected state and infrastructure.</div><div>5) Apply the configuration to update your Terraform state.</div></div><br> 
<div><div>What command line instruction imports an AWS instance with the resource_id of i-abcd1234 into a Terraform resource with the id of aws_instance.foo?</div></div>	`terraform import aws_instance.foo i-abcd1234`
<div><div>What do you need to be careful of when using import in Terraform?</div></div>	That you only import a resource into your configuration once
<div><div>When running `terraform state` commands that modify the state, what will Terraform produce?&nbsp;</div></div>	A backup file
<div><div>What is a tainted resource in Terraform?</div></div>	A resource in an incomplete or degraded state
<div><div>What will happen to a tainted resource when `terraform apply` is run?</div></div>	Terraform will rebuild it
<div><div>What does the `terraform state list` command do?</div></div>	It will display the resources addresses for all resources in your state
<div><div>What command in Terraform would you run to list all resources in your state?</div></div>	`terraform state list`
<div><div>What does the `terraform state show &lt;resource_address&gt;` command do?</div></div>	It will show detailed information about one resource
<div><div>What command in Terraform would you run to show detailed information about one resource?</div></div>	terraform state show &lt;resource_address&gt;
<div><div>What does the `terraform refresh` command do?</div></div>	It will update the state data to match the real-world condition of the managed resources
<div><div>What command in Terraform would you run to update the state data to match the real-world condition of the managed resources?</div></div>	`terraform refresh`
<div><div>What does the `terraform state mv` command do?</div></div>	It can be used to move resources from one state file to another, or to rename resources
<div><div>What command in Terraform would you run to rename a resource?</div></div>	`terraform state mv`
<div><div>What command in Terraform would you run to move a resource from one state file to another?</div></div>	`terraform state mv`
<div><div>What does the `terraform state rm` command do?</div></div>	It will stop Terraform from managing a resource *without* deleting the real-world resource
<div><div>What command in Terraform would you run to stop managing a resource without deleting it?</div></div>	`terraform state rm`
<div><div>What does the `terraform state pull` command do?</div></div>	It will manually download and override your local copy of state from a remote state location
<div><div>What command in Terraform would you run to manually download and override your local copy of state from a remote state location?&nbsp;</div></div>	`terraform state pull`
<div><div>What does the `terraform state push` command do?</div></div>	Manually upload a local state file to a remote state
<div><div>What does the `terraform apply -replace=&lt;resource_address&gt;` command do?</div></div>	It will rebuild that resource
<div><div>What command in Terraform would you run to replace/re-establish a resource? Without running `terraform taint`</div></div>	`terraform apply -replace=&lt;resource_address&gt;`
<div><div>What does the `terraform taint &lt;resource_address&gt;` command do?</div></div>	"Marks a resource as tainted so that it's replaced next `terraform apply`"
<div><div>What command in Terraform would you run to trigger a resource to be rebuilt on the next `terraform apply`?</div></div>	`terraform taint &lt;resource_address&gt;`
<div><div>What does the `terraform untaint &lt;resource_address&gt;` command do?</div></div>	Un-taints a resource so that it will not be replaced on the next `terraform apply`
<div><div>What command in Terraform would you run to un-taint a resource?</div></div>	&nbsp;`terraform untaint &lt;resource_address&gt;`
<div><div>What environment variable do you set to change the verbosity of the logs in Terraform?</div></div>	`TF_LOG`
<div><div>To persist Terraform logs, what environment variable do you set?</div></div>	`TF_LOG_PATH`
<div><div>Where are debugging logs used in Terraform outputted to?</div></div>	`stderr`
<div><div><div><div><div><div>What do all `module` blocks require in Terraform?</div></div></div></div></div></div>	A source argument
<div><div>What can a source argument for a module be in Terraform?</div></div>	A URL, local path or a registry source address
<div><div>When importing a module from the Terraform public registry, what do you use as the source?</div></div>	A registry source address `&lt;NAMESPACE&gt;/&lt;NAME&gt;/&lt;PROVIDER&gt;`
<div><div>What are modules in Terraform?</div></div>	They are containers for multiple resources that enable reusability
<div><div>When adding, removing or modifying modules in Terraform, what do you need to run?</div></div>	`terraform init`
<div><div>When installing a Terraform module from a module registry, what should you pass in?</div></div>	A version argument
<div><div>How do you access outputs from a Terraform module?</div></div>	`module.&lt;module_name&gt;.&lt;output_name&gt;`
<div><div>When defining a module, what do you need to use to define what inputs can be passed into the module?</div></div>	Variables
<div><div>When passing variables into the child modules, the calling module passes the variables in how?</div></div>	Arguments in the module block
<div><div>When working in a team, where does Terraform recommend executing your plans?</div></div>	In a continuous integration environment
<div><div>How do you initialize a working directory containing Terraform configuration files?</div></div>	`terraform init`
<div><div>What will `terraform init` configure?</div></div>	Backend state configurations, modules and plugins
<div><div>What will Terraform build after running `terraform init`?</div></div>	A dependency version lock file for your plugins
<div><div>How do you validate that your Terraform configuration files are syntactically valid and internally consistent?</div></div>	`terraform validate`
<div><div>What command do you use in Terraform to create an execution plan for the changes you are making in your infrastructure?</div></div>	`terraform plan`
<div><div>If you want to output a plan file to disk to use later in Terraform, what do you run?</div></div>	`terraform plan -out=&lt;plan_file&gt;`
<div><div>How do you read a Terraform plan on disk in a human-readable format?</div></div>	`terraform show &lt;plan_file&gt;`
<div><div>How do you produce and execute the actions you have configured in your Terraform?&nbsp;</div></div>	`terraform apply`
<div><div>How do you execute the actions in a Terraform plan that is on disk?</div></div>	`terraform apply &lt;plan_file&gt;`
<div><div>How do you destroy all Terraform resources?</div></div>	`terraform destroy`
<div><div>How do you format your Terraform configuration files?</div></div>	`terraform fmt`
<div><div>When does Terraform validate your providers?</div></div>	When running `terraform init`
<div><div>What does `terraform apply` do in Terraform?</div></div>	Executes a plan to modify Terraform resources
<div>What do backends in Terraform store?</div>	State files
<div>What is a state file used for in Terraform?</div>	To keep a track of resources that Terraform manages
<div>What are the three places that Terraform can use for backends?</div>	Local, Terraform cloud and a remote backend (cloud)
<div>What block is used to store state remotely in Terraform?</div>	<div>The `backend` block</div>
<div>Where does the `backend` block go in Terraform?</div>	<div>Within the `terraform` block</div>
<div>What is the limitation with arguments to the `backend` block in Terraform?</div>	It cannot refer to named values (like variables, locals or data sources)
"<div>Whenever a configuration's backend changes, what must you do?</div>"	<div><div>Run `terraform init`</div></div>
Where is state stored by default in Terraform?	Locally
<div>Why are local state files not optimal in Terraform?</div>	You cannot collaborate effectively and secrets are in plain text
<div>When passing in arguments for your backend configuration for Terraform to place into the `backend` block, what is your configuration considered to be?</div>	<div>A partial configuration</div>
<div>What is a partial configuration in Terraform?</div>	When you leave sensitive configuration arguments for you `backend` block empty and pass them in through some other means
<div>How can you pass in arguments to a partial configuration in Terraform?</div>	Using a file, cli arguments, or interactively
<div>How method does Terraform use to enable collaboration with remote state (if two people `apply` at the same time)?</div>	State locking&nbsp;
<div>What is resource drift in Terraform?</div>	When your resources within your cloud provider have been modified through a method other than Terraform
<div>If you suspect that you have resource drift in your Terraform, what should you run?</div>	`terraform plan -refresh-only`
<div>If you suspect that you have resource drift in your Terraform, what should you run?</div>	`terraform plan -refresh-only`
<div>After running `terraform plan -refresh-only` and seeing that there have been changes in your resources, what do you need to do?</div>	Update your configuration to match the changes
When accessing a variable in Terraform, what is the prefix?	`var.`
<div>The root module variables are set using the CLI, environment variables, <span class=cloze>[...]</span> or in a Terraform Cloud workspace</div>	<div>The root module variables are set using the CLI, environment variables, <span class=cloze>variable files</span> or in a Terraform Cloud workspace</div><br> 
<div>The root module variables are set using the CLI, environment variables, variable files or in a <span class=cloze>[...]</span></div>	<div>The root module variables are set using the CLI, environment variables, variable files or in a <span class=cloze>Terraform Cloud workspace</span></div><br> 
<div>The root module variables are set using the CLI, <span class=cloze>[...]</span>, variable files or in a Terraform Cloud workspace</div>	<div>The root module variables are set using the CLI, <span class=cloze>environment variables</span>, variable files or in a Terraform Cloud workspace</div><br> 
<div>The root module variables are set using the <span class=cloze>[...]</span>, environment variables, variable files or in a Terraform Cloud workspace</div>	<div>The root module variables are set using the <span class=cloze>CLI</span>, environment variables, variable files or in a Terraform Cloud workspace</div><br> 
<div>How would you automatically load in variables from a file in Terraform?</div>	Name the file `terraform.tfvars` or `terraform.tfvars.json`, or files ending in `.auto.tfvars` or `.auto.tfvars.json`
<div>When defining variables in a `.tfvar` file, what is the difference with definitions?&nbsp;</div>	"You don't need to include the `variable` block surrounding the variable"
<div>How do you access attributes of a `resource` block in Terraform?</div>	`&lt;RESOURCE TYPE&gt;.&lt;NAME&gt;.&lt;ATTRIBUTE&gt;`
<div>What would you use to retrieve read-only data from your cloud provider in Terraform?</div>	A `data` block
<div>What is the difference between a `resource` and `data` block in Terraform?</div>	A data block is read-only data, a resource block modifies infrastructure&nbsp;
<div>How do you access data from a `data` block in Terraform?</div>	`data.&lt;TYPE&gt;.&lt;NAME&gt;.&lt;ATTRIBUTE&gt;`
<div>What does Terraform use to generate plans, refresh state and apply changes under the hood?</div>	&nbsp;A dependency graph
<div>What traversal will Terraform use to walk its graph?</div>	A parallel depth-first search
<div>How do you define a list/tuple in Terraform?</div>	"[""a"", ""b"", ""c""]"
<div>How do you define a map/object in Terraform?&nbsp;</div>	"<div>{</div><div>&nbsp; name = ""John"",</div><div>&nbsp; age&nbsp; = 52</div><div>}</div>"
<div>What is the type constraint on a structural type in Terraform?</div>	It will allow all types
<div>What is the type constraint on a collection type in Terraform?</div>	It will only allow one type
<div>What is the general pattern for calling functions in Terraform?</div>	A function name followed by comma-separated arguments in parentheses `max(5,12,9)`
<div>How do you mark a variable as sensitive in Terraform?</div>	<div>You surround it with the sensitive function `sensitive(data)`</div>
<div>What can you use to test your Terraform functions?</div>	The `terraform console`
<div><div>How do you use an environment variable to set a variable value in Terraform?</div></div>	`TF_VAR_&lt;variable_name&gt;`
What block do you use to download secrets (whether a file or from a vault) to populate your Terraform config with?	A `data` block
<div>How to get additional information for a command line tool in Terraform?&nbsp;</div>	Append `-help`
<div><div>What Hashicorp solution can you use with Terraform to streamline your experience with Terraform?</div></div>	Terraform Cloud
<div><div>When more than one person is working on a Terraform project, you need at minimum to have a <span class=cloze>[...]</span>, and ideally also a CI environment</div></div>	<div><div>When more than one person is working on a Terraform project, you need at minimum to have a <span class=cloze>remote state solution</span>, and ideally also a CI environment</div></div><br> 
<div><div>When more than one person is working on a Terraform project, you need at minimum to have a remote state solution, and ideally also a <span class=cloze>[...]</span></div></div>	<div><div>When more than one person is working on a Terraform project, you need at minimum to have a remote state solution, and ideally also a <span class=cloze>CI environment</span></div></div><br> 
<div><div>Terraform Cloud offers what to run Terraform actions on your own private servers?</div></div>	Terraform Cloud Agents
<div><div>Terraform Cloud manages infrastructure collections with <span class=cloze>[...]</span> instead of directories</div></div>	<div><div>Terraform Cloud manages infrastructure collections with <span class=cloze>workspaces</span> instead of directories</div></div><br> 
<div><div>What would you use to create and share private modules for your corporation in Terraform?</div></div>	The private registry
"<div><div>What is the name of Terraform's policy enforcer?</div></div>"	Sentinel
<div><div>After you define policies in Sentinel in Terraform, where do you need to add them?</div></div>	To policy sets on workspaces
